vertices,edges,graph_type,optimal_colors,optimal_time,dsatur_colors,dsatur_time,dsatur_ratio,dsatur_error,dsatur_optimal,ldf_colors,ldf_time,ldf_ratio,ldf_error,ldf_optimal,hybrid_colors,hybrid_time,hybrid_ratio,hybrid_error,hybrid_optimal
7,4,random_0.2,2,2.5987625122070312e-05,2,1.5020370483398438e-05,1.0,0.0,True,2,2.6226043701171875e-06,1.0,0.0,True,2,1.7881393432617188e-05,1.0,0.0,True
7,4,random_0.2,2,7.224082946777344e-05,2,2.002716064453125e-05,1.0,0.0,True,2,2.86102294921875e-06,1.0,0.0,True,2,1.811981201171875e-05,1.0,0.0,True
7,4,random_0.2,2,6.508827209472656e-05,2,1.4066696166992188e-05,1.0,0.0,True,2,3.814697265625e-06,1.0,0.0,True,2,1.9311904907226562e-05,1.0,0.0,True
7,4,random_0.2,2,8.58306884765625e-05,2,1.52587890625e-05,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.7881393432617188e-05,1.0,0.0,True
7,10,random_0.5,4,0.0047109127044677734,4,1.9073486328125e-05,1.0,0.0,True,4,4.0531158447265625e-06,1.0,0.0,True,4,2.09808349609375e-05,1.0,0.0,True
7,10,random_0.5,3,0.0009980201721191406,3,1.9073486328125e-05,1.0,0.0,True,3,5.0067901611328125e-06,1.0,0.0,True,3,2.193450927734375e-05,1.0,0.0,True
7,10,random_0.5,3,0.0008168220520019531,3,1.7881393432617188e-05,1.0,0.0,True,3,5.245208740234375e-06,1.0,0.0,True,3,2.09808349609375e-05,1.0,0.0,True
7,10,random_0.5,4,0.004705190658569336,4,1.8835067749023438e-05,1.0,0.0,True,4,4.76837158203125e-06,1.0,0.0,True,4,2.2172927856445312e-05,1.0,0.0,True
7,10,random_0.5,3,0.0008730888366699219,3,2.09808349609375e-05,1.0,0.0,True,3,5.0067901611328125e-06,1.0,0.0,True,3,2.47955322265625e-05,1.0,0.0,True
7,16,random_0.8,5,0.05101895332336426,5,2.5987625122070312e-05,1.0,0.0,True,5,5.245208740234375e-06,1.0,0.0,True,5,2.5987625122070312e-05,1.0,0.0,True
7,16,random_0.8,4,0.00751495361328125,4,2.5033950805664062e-05,1.0,0.0,True,4,5.245208740234375e-06,1.0,0.0,True,4,2.9087066650390625e-05,1.0,0.0,True
7,16,random_0.8,5,0.04076075553894043,5,2.6941299438476562e-05,1.0,0.0,True,5,5.9604644775390625e-06,1.0,0.0,True,5,2.5272369384765625e-05,1.0,0.0,True
